"Question","Precedent","Answer"
"최저임금제도란 무엇이며, 최저임금액은 어떻게 결정되는지요?",,"최저임금제도란 국가가 임금액의 최저한도를 정하여 사용자에게 이를 준수하도록 강제하는 제도를 말합니다. 그러므로 최저임금액이 결정·고시되면 사용자는 근로자와 합의하여 최저임금액보다 낮은 임금을 지급하기로 약정하더라도 그것은 당연히 무효가 되며, 고용노동부장관이 고시한 최저임금액 이상을 지급하여야 합니다(최저임금법 제6조). 최저임금제도의 적용대상은 근로자를 사용하는 모든 사업 또는 사업장에 적용되며, 상용근로자 뿐만 아니라 임시근로자나 일용근로자, 시간제근로자 등 모든 근로자에게 적용됩니다. 다만, 동거의 친족만을 사용하는 사업과 가사사용인에 대하여는 적용하지 아니하고, 선원법의 적용을 받는 선원 및 선원을 사용하는 선박의 소유자에 대하여는 이를 적용하지 아니합니다(같은 법 제3조). 그리고 수습사용 중에 있는 자로서 수습사용한 날부터 3월 이내인 근로자는 시간급 최저임금액의 90%를 지급할 수 있고, 사용자가 고용노동부장관의 인가를 받은 감시 또는 단속적으로 근로에 종사하는 자(수위, 경비원, 자가용운전기사 등)는 시간급 최저임금액의 80%를 지급할 수 있습니다(같은 법 제5조 제2항, 같은 법 시행령 제3조).그러나 같은 법 시행령 제6조는 사용자는 고용노동부장관의 인가를 받아 ‘근로자의 정신 또는 신체의 장애가 당해 근로자를 종사시키고자 하는 업무의 수행에 직접적으로 현저한 지장을 주는 것이 명백하다고 인정되는 자’에 대하여는 최저임금의 적용을 제외할 수 있도록 규정하고 있습니다.고용노동부장관은 매년 3월 31일까지 근로자위원, 사용자위원, 공익위원 등으로 구성된 최저임금심의위원회에 최저임금에 관한 심의를 요청하여야 하고, 동 위원회에서는 근로자의 생계비, 유사근로자의 임금, 노동생산성 및 소득분배율 등을 고려하여 최저임금안을 심의하며, 심의위원회로부터 최저임금안을 제출받은 때에는 지체없이 사업의 종류별 최저임금안 및 적용사업의 범위를 고시하여야 하며, 매년 8월 5일까지 최저임금을 결정하여야 합니다(같은 법 제4조, 제5조, 제8조, 제9조, 같은 법 시행령 제7조).참고로 고용노동부에서 고시한 2016년 1월 1일부터 2016년 12월 31일 까지 적용되는 최저임금액을 보면 시간급은 6,030원으로 정하고 있습니다."
"저는 상시 근로자수 13인인 甲회사에서 1983년 10월부터 근무하다가 1개월 전 퇴직하였으나, 甲회사는 퇴직금지급규정이 없다는 이유로 퇴직금을 지급하지 않고 있습니다. 저는 퇴직금을 받을 수 없는지요?",,"퇴직금제도에 관하여 「근로기준법」제34조에 의하면 「근로자퇴직급여 보장법」이 정하는 바에 따르도록 하고 있으며, 사용자는 근로자퇴직급여보장법에서 정하고 있는 퇴직급여제도 중 하나 이상의 제도를 설정하여야 하며, 퇴직급여제도는 퇴직금제도 및 퇴직연금제도로 이루어져 있습니다(근로자퇴직급여 보장법 제4조).「근로자퇴직급여 보장법」제4조는 “①사용자는 퇴직하는 근로자에게 급여를 지급하기 위하여 퇴직급여제도중 하나 이상의 제도를 설정하여야 한다. 다만, 계속근로기간이 1년 미만인 근로자, 4주간을 평균하여 1주간의 소정근로시간이 15시간 미만인 근로자에 대하여는 그러하지 아니하다. ②제1항의 규정에 의한 퇴직급여제도를 설정함에 있어서 하나의 사업안에 차등을 두어서는 아니 된다. ③사용자가 퇴직급여제도의 종류를 선택하거나 선택한 퇴직급여제도를 다른 종류의 퇴직급여제도로 변경하고자 하는 경우에는 당해 사업에 근로자의 과반수로 조직된 노동조합이 있는 경우에는 그 노동조합, 근로자의 과반수로 조직된 노동조합이 없는 경우에는 근로자의 과반수(이하 “근로자대표”라 한다)의 동의를 얻어야 한다. ④사용자가 제3항의 규정에 따라 선택되거나 변경된 퇴직급여제도의 내용을 변경하고자 하는 경우에는 근로자대표의 의견을 들어야 한다. 다만, 근로자에게 불이익하게 변경하고자 하는 경우에는 근로자대표의 동의를 얻어야 한다.”라고 규정하고 있습니다.그리고 이러한 퇴직금 지급규정이 적용되는 사업장의 범위에 대해서는 「근로기준법」이 정하고 있는데, 그 변천과정을 살펴보면, 1975년 4월 28일 이전에는 상시근로자 30인 이상, 그 이후부터 1987년 12월 31일까지는 상시근로자 16인 이상, 그 이후부터 1989년 3월 28일까지는 상시근로자 10인 이상의 사업장에 대해서만 적용되었습니다.그러나 1989년 3월 29일에 「근로기준법」이 다시 개정된 이후부터는 상시 근로자수 5인 이상인 모든 사업장에 같은 법이 적용되게 되었습니다(같은 법 제11조). 다만, 위 규정은 소급되지 아니하므로 퇴직금이 산정되는 근로기간은 각 지급대상에 해당되는 근무기간만이 적용됩니다. 이와 같은 퇴직금은 근로자가 1년 이상의 기간 계속 근로를 제공하고 퇴직할 경우에 사용자가 근로자의 근로 제공에 대한 임금 일부를 지급하지 아니하고 축적하였다가 이를 기본적 재원으로 하여 근로자가 퇴직할 때 이를 일시금으로 지급하는 것으로서 퇴직금은 본질적으로는 후불적 임금의 일종입니다(대법원 2007 3. 30. 선고 2004다8333 판결).그러므로 귀하의 경우에 「근로기준법」및 「근로자퇴직급여 보장법」상의 퇴직금제도가 적용되어 퇴직금을 청구할 수 있는지, 퇴직금을 청구할 수 있는 경우 그 퇴직금의 지급대상기간이 어느 정도 되는지는 甲회사의 상시 근로자수가 어떻게 변경되어 왔는지를 파악한 후 위와 같은 기준에 의하여 정해져야 할 것입니다.따라서 甲회사의 사업장을 관할하는 노동부의 지방노동사무소에 신청하여 확인절차를 거치도록 함이 좋을 듯합니다.                   "
"저는 甲회사에 입사하여 5년째 되던 해 소속부서 업무가 乙회사로 독립되자 甲회사에서 일방적으로 근로자들을 일괄 사직처리하고 퇴직금을 수령하도록 한 후, 그 다음 날짜로 乙회사에 입사한 것으로 하였습니다. 그 후 제가 乙회사를 퇴직하게 되자 乙회사에서는 乙회사 근무기간 4년 9개월에 해당되는 퇴직금만을 지급하겠다고 합니다. 이 경우 甲회사에 입사한 때부터 乙회사에서 퇴직할 때까지의 기간을 계속근로연수로 하여 지급배수를 정한 누진퇴직금을 받을 수는 없는지요?",,"기업의 합병·분할·영업양도 등의 경우 근로자들이 조직변경 전후에 계속하여 근무를 하되, 일단 근로자들이 종전의 기업에서 퇴직하고 그 근무연수에 해당하는 퇴직금을 지급받은 후 새로운 기업에 신규입사형식을 취한 경우에는 근로자의 자의에 의한 것이냐 아니면 회사의 경영방침에 의한 일방적 결정에 따른 것이었느냐에 따라서 결론이 달라질 수 있습니다.이에 관하여 판례는 “근로자가 스스로의 필요나 판단에 따라 자유로운 의사에 기하여 사용자에게 사직서 등을 제출하고 이에 따라 당해 기업으로부터 소정 퇴직금을 정산하여 지급받은 경우에는 사직서 등의 제출이 사용자의 일방적인 경영방침에 따라 어쩔 수 없이 이루어지거나 단지 형식적으로 이루어진 것으로 볼 수 없어 이로써 당해 기업과 근로자와의 근로관계는 일단 유효하게 단절되고, 이 경우 근로자가 당해 기업에 종전의 근무경력을 인정받고 곧바로 재입사하여 계속 근무하다가 퇴직하였다고 하더라도 퇴직금 산정의 기초가 되는 계속근로연수를 산정함에 있어서는 재입사한 때로부터 기산하여야 한다.”라고 하고 있습니다(대법원 1999. 12. 6. 선고 98다46198 판결, 2001. 9. 18. 선고 2000다60630 판결).그러나 근로자가 스스로의 의사에 의한 것이 아니고 합병·분할·양도 이전기업의 퇴직금을 지급하기 위한 방편이나 또는 경영방침에 의한 일방적인 결정에 따라 퇴직과 재입사의 형식을 거친 것에 불과하다면 계속근로관계는 단절되지 않고, 이 경우에는 근로자가 퇴직하면 그 기업은 종전 기업의 재직기간을 합산한 계속근로연수에 따른 퇴직금에서 이미 지급한 퇴직금을 공제한 차액을 지급하여야 합니다(대법원 1992. 7. 14. 선고 91다40276 판결, 2005. 2. 25. 선고 2004다34790 판결).따라서 위 사안에 있어서 귀하도 甲회사에서 퇴사하고 퇴직금을 수령한 후 乙회사에 재입사한 것이 귀하의 자의에 의한 것이 아니고 회사의 경영방침에 따라 일방적으로 위와 같이 한 것이라면 귀하는 근로관계의 계속을 주장하여 甲회사에 최초로 입사한 때부터 乙회사를 최종퇴직할 때까지의 재직기간을 퇴직금산정기간으로 하여 최종적으로 퇴직할 때의 평균임금을 기준으로 산정한 퇴직금에서 甲회사에서 퇴직할 때 수령한 퇴직금을 공제한 나머지 금액을 청구할 수 있을 것입니다."
저는 학습지제작·판매회사인 甲회사와 위탁업무계약을 체결한 교육상담교사입니다. 저와 같은 경우에도 「근로기준법」상의 근로자로서 퇴직금을 청구할 수 있는지요?,,"「근로기준법」상 근로자의 범위에 관하여 판례는 “근로기준법상의 근로자에 해당하는지 여부는 계약의 형식과는 관계없이 실질에 있어서 근로자가 임금을 목적으로 종속적인 관계에서 사용자에게 근로를 제공하였는지 여부에 따라 판단하여야 하고, 이를 판단함에 있어서는 업무의 내용이 사용자에 의하여 정하여지고 취업규칙·복무규정·인사규정 등의 적용을 받으며 업무수행과정에 있어서도 사용자로부터 구체적이고 직접적인 지휘·감독을 받는지 여부, 사용자에 의하여 근무시간과 근무장소가 지정되고 이에 구속을 받는지 여부, 비품·원자재·작업도구 등의 소유관계, 보수가 근로자체의 대상적(對償的) 성격을 가지고 있는지 여부와 기본급이나 고정급이 정하여져 있는지 여부 및 근로소득세의 원천징수 여부 등 보수에 관한 사항, 근로제공관계의 계속성과 사용자에의 전속성의 유무와 정도, 사회보장제도에 관한 법령 등 다른 법령에 의하여 근로자로서의 지위를 인정하여야 하는지 여부, 양 당사자의 경제·사회적 조건 등을 종합적으로 고려하여 판단하여야 하고, 반대로 어떤 근로자에 대하여 누가 근로기준법 제28조 제1항(현행 근로기준법 제34조), 제30조(현행 근로기준법 제36조)가 정하는 퇴직금 지급의무를 부담하는 사용자인가를 판단함에 있어서도 계약의 형식이나 관련 법규의 내용에 관계없이 실질적인 근로관계를 기준으로 하여야 하고, 이 때에도 위와 같은 여러 요소들을 종합적으로 고려하여야 한다.”라고 하였습니다(대법원 1999. 2. 9. 선고 97다56235 판결, 2001. 4. 13. 선고 2000도4901 판결, 2002. 7. 26. 선고 2000다27671 판결)또한, “학습지 등을 제작·판매하는 회사와 위탁업무계약을 체결한 교육상담교사의 경우 그 위탁업무의 수행과정에서 업무의 내용이나 수행방법 및 업무수행시간 등에 관하여 그 회사로부터 구체적이고 직접적인 지휘·감독을 받고 있지 아니한 점, 그 회사로부터 지급받는 수수료는 그 위탁업무수행을 위하여 상담교사가 제공하는 근로의 내용이나 시간과는 관계없이 오로지 신규회원의 증가나 월회비의 등록에 따른 회비의 수금실적이라는 객관적으로 나타난 위탁업무의 이행실적에 따라서만 그 지급여부 및 지급액이 결정되는 것이어서 종속적인 관계에서의 근로제공의 대가로써의 임금이라 보기 어려운 점 및 그밖에 업무수행시간의 정함이 없는 점 등 여러 사정을 종합하여 볼 때, 교육상담교사는 그 회사와의 사이에 사용·종속관계하에서 임금을 목적으로 근로를 제공한 근로자로 볼 수 없다.”라고 하였습니다(대법원 1996. 4. 26. 선고 95다20348 판결, 2005. 11. 24. 선고 2005다39136 판결).따라서 귀하의 경우에도 위와 같은 종합적인 기준에 의하여 「근로기준법」상의 근로자인지 여부를 판단하여야 할 것인바, 위 판례에 비추어 볼 때 「근로기준법」상의 근로자로 인정되기는 어려울 것으로 보입니다.                   "
"저는 甲대학병원에서 전공의 과정을 밟고 있는 레지던트입니다. 그런데 몇 달 전부터 저에 대한 임금이 지급되지 않고 있어 병원측에 그 지급을 요구하였으나, 병원측은 레지던트 과정도 교육의 과정이므로 임금을 지급하지 않아도 되며 그 전에 얼마씩 지급한 것도 장학금 내지 생활비조로 병원측에서 호의적으로 지급한 것이었다고 말하고 있습니다. 저는 계속 이를 다투었다가는 장래에 좋지 않은 영향을 줄 것도 같아 어떻게 하여야 할지 모르겠습니다. 좋은 방법이 있는지요?",,"「근로기준법」제2조 제1항 1호에서는 ‘근로자’를 ‘직업의 종류와 관계없이 임금을 목적으로 사업이나 사업장에 근로를 제공하는 자를 말한다’라고 정의하고 있습니다.귀하의 경우 ‘전공의’과정은 ‘전문의’자격을 따기 위한 필수적인 수련과정에 해당한다는 점에서 과연 귀하가 근로기준법 소정의 ‘임금을 목적으로 근로를 제공하는 자’에 해당하는지 여부가 다투어질 수 있습니다.이에 관하여 판례는 “인턴 또는 레지던트 등 ‘수련의’, ‘전공의’의 경우에도 그들이 비록 전문의 시험자격취득을 위한 필수적인 수련과정에서 수련병원에 근로를 제공하였다고 하더라도 수련의, 전공의의 지위는 교과과정에서 정한 환자진료 등 피교육자적인 지위와 함께 병원에서 정한 진료계획에 따라 근로를 제공하고 그 대가로 임금을 지급받는 근로자로서의 지위를 아울러 가지고 있다 할 것이고, 또한 병원측의 지휘·감독아래 노무를 제공함으로써 실질적인 사용·종속관계에 있다고 할 것이므로 전공의는 병원경영자에 대한 관계에 있어서 근로기준법상의 근로자에 해당한다.”라고 하였습니다(대법원 1998. 4. 24. 선고 97다57672 판결, 2001. 3. 23. 선고 2000다39513 판결).따라서 귀하는 「근로기준법」의 보호를 받을 수 있으므로 임금 등의 지급을 구할 권리가 있고, 만일 이로 인해 어떠한 불이익한 처우를 받게 된 경우에는 역시 근로자의 지위에서 권리구제를 받을 수 있을 것입니다.                   "
"대학교에서 시간강사로 위촉한 강사들이 근로자임을 전제로 근로복지공단에서 학교법인 앞으로 산업재해보상보험료등을 부과하였습니다. 그런데 학교법인에서 근무하는 시간강사들 대부분이 정해진 기본급이나 고정급이 없고, 근로소득세도 원천징수되지 않는 일시적인 근로제공관계에 있는데 이러한 경우에도 시간강사가 근로자로서 인정되어 학교법인이 산업재해 보상보험료등을 납부해야 하는지요?",,"「근로기준법」제2조 제1항 제1호는 “‘근로자’란 직업의 종류와 관계없이 임금을 목적으로 사업이나 사업장에 근로를 제공하는 자를 말한다.”라고 규정하고 있습니다.근로자의 범위에 관하여 판례는 “근로기준법상의 근로자에 해당하는지 여부를 판단함에 있어서는 그 계약의 형식이 민법상의 고용계약인지 또는 도급계약인지에 관계없이 그 실질에 있어 근로자가 사업 또는 사업장에 임금을 목적으로 종속적인 관계에서 사용자에게 근로를 제공하였는지 여부에 따라 판단하여야 할 것이고, 위에서 말하는 종속적인 관계가 있는지 여부를 판단함에 있어서는, 업무의 내용이 사용자에 의하여 정하여지고 취업규칙 또는 복무(인사)규정 등의 적용을 받으며 업무수행과정에 있어서도 사용자로부터 구체적, 개별적인 지휘·감독을 받는지 여부, 사용자에 의하여 근무시간과 근무장소가 지정되고 이에 구속을 받는지 여부, 근로자 스스로가 제3자를 고용하여 업무를 대행케 하는 등 업무의 대체성 유무, 비품, 원자재나 작업도구 등의 소유관계, 보수의 성격이 근로 자체의 대상적 성격이 있는지 여부와 기본급이나 고정급이 정하여져 있는지 여부 및 근로소득세의 원천징수 여부 등 보수에 관한 사항, 근로제공관계의 계속성과 사용자에의 전속성의 유무와 정도, 사회보장제도에 관한 법령 등 다른 법령에 의하여 근로자로서의 지위를 인정받는지 여부, 양 당사자의 경제·사회적 조건 등을 종합적으로 고려하여 판단하여야 할 것이다.”라고 하였습니다(대법원 1994. 12. 9. 선고 94다22859 판결).한편, 위 사안과 관련하여 판례는 “학교법인이 운영하는 대학교에서 강의를 담당한 시간강사들은 학교측에서 시간강사들의 위촉·재위촉과 해촉 또는 해임, 강의시간 및 강사료, 시간강사의 권리와 의무 등에 관하여 정한 규정에 따라 총장 등에 의하여 시간강사로 위촉되어 대학교측이 지정한 강의실에서 지정된 강의시간표에 따라 대학교측이 개설한 교과목의 강의를 담당한 점, 대학교측의 학사관리에 관한 규정 및 학사일정에 따라 강의계획서를 제출하고 강의에 수반되는 수강생들의 출·결석 관리, 과제물 부과와 평가, 시험문제의 출제, 시험감독, 채점 및 평가 등 학사관리업무를 수행한 점, 위와 같은 업무수행의 대가로 시간당 일정액에 실제 강의시간 수를 곱한 금액(강사료)을 보수로 지급받은 점, 시간강사가 제3자를 고용하여 위와 같은 업무를 수행하는 것은 규정상 또는 사실상 불가능한 점, 시간강사가 위와 같은 업무를 수행하면서 업무수행에 불성실하거나 대학교의 제반 규정을 위반하고 교수로서의 품위를 유지하지 못하는 경우 등에는 전임교원(총장, 학장, 교수, 부교수, 조교수 및 전임강사)에 대한 재임용제한 및 해임 또는 파면 등 징계처분과 동일한 의미를 갖는 조치인 재위촉제한 또는 해촉(해임)을 받도록 되어 있는 점 등을 종합하여 보면, 대학교의 시간강사는 임금을 목적으로 종속적인 관계에서 학교법인에게 근로를 제공한 근로자에 해당한다고 봄이 상당하다.”라고 하였습니다(대법원 2007. 3. 29. 선고 2005두13018, 13025 판결).따라서 대학교의 시간강사를 근로기준법에서 정한 근로자임을 전제로 하여 학교법인에 산업재해보상보험료 등을 부과하는 처분은 정당하다고 보입니다.참고로 대학입시학원 종합반 강사들의 근로기준법상 근로자 해당 여부에 관하여 판례는 “대학입시학원 종합반 강사들의 출근시간과 강의시간 및 강의장소의 지정, 사실상 다른 사업장에 대한 노무 제공 가능성의 제한, 강의 외 부수 업무 수행 등에 관한 사정과 그들이 시간당 일정액에 정해진 강의시간수를 곱한 금액을 보수로 지급받았을 뿐 수강생수와 이에 따른 학원의 수입 증감이 보수에 영향을 미치지 아니하였다는 사정 등에 비추어 볼 때 위 강사들이 근로기준법상의 근로자에 해당한다고 하면서, 비록 그들이 학원측과 매년 ‘강의용역제공계약’이라는 이름의 계약서를 작성하였고 일반 직원들에게 적용되는 취업규칙 등의 적용을 받지 않았으며 보수에 고정급이 없고 부가가치세법상 사업자등록을 하고 근로소득세가 아닌 사업소득세를 원천징수 당하였으며 지역의료보험에 가입하였다고 하더라도 위 강사들의 근로자성을 부정할 수 없다”라고 한 사례도 있습니다(대법원 2006. 12. 7. 선고 2004다29736 판결)."
"저는 제 소유 버스를 수영장 사업주의 명의로 등록하고 위 수영장에 전속되어 위 수영장이 정한 운행시간 및 운행노선에 따라 회원운송용으로 운행하고 있고, 위 수영장의 사업주로부터 매월 일정액의 급여를 지급받고 있습니다. 이러한 경우 제가 차량운행 중에 재해를 당하면 「근로기준법」상 근로자로서 산업재해보상을 받을 수 있는지요?",,"「근로기준법」상의 근로자에 해당하는지 여부에 관하여 판례는 “근로기준법상의 근로자에 해당하는지 여부는 그 계약의 형식이 민법상의 고용계약인지 또는 도급계약인지에 관계없이 그 실질에 있어 근로자가 사업 또는 사업장에 임금을 목적으로 종속적인 관계에서 사용자에게 근로를 제공하였는지 여부에 따라 판단하여야 한다.”라고 하였습니다(대법원 1997. 12. 26. 선고 97다17575 판결, 2001. 4. 13. 선고 2000도4901 판결, 2002. 7. 26. 선고 2000다27671 판결).그러므로 근로제공자가 기계, 기구 등을 소유하고 있다고 하여 그것이 곧 자기의 계산과 위험부담하에 사업경영을 하는 사업자라고 단정할 것은 아닙니다.귀하가 위 수영장이 정한 운행시간 및 운행노선에 따라 회원운송용 버스를 왕복운행하고, 일일운행점검표를 작성하여 매일 결재를 받는 등 그 운행에 관하여 수영장의 지시·감독을 받았고, 타인으로 하여금 위 버스를 대신 운행하게 하는 것이 거의 불가능하였으며, 위 수영장에 전속되어 노무를 제공하였을 뿐 위 버스를 이용하여 다른 영업행위를 한 사실이 없는 점 등이 인정된다면 비록 근로계약서, 임금대장이 작성되지 않았다거나 근로소득세가 원천징수되지 않았다고 하더라도, 귀하는 위 수영장에 대하여 사용·종속적인 관계에서 자신 소유의 차량을 이용하여 근로를 제공하는 방법으로 근로를 제공하고 실비변상적인 성격의 금원을 포함한 포괄적인 형태의 임금을 받는 자로 보입니다(대법원 2000. 1. 18. 선고 99다48986 판결).따라서 귀하가 위 차량운행 중 재해를 당하게 되면 「근로기준법」상의 근로자로서 산업재해보상을 받을 수 있을 것으로 보입니다."
저는 외국인이 경영하는 상시 근로자 10명인 회사에서 근무하고 있습니다. 이 경우에도 「근로기준법」이 적용되는지? 구체적인 적용기준은 어떤지요?,,"「근로기준법」제11조 제1항은 “근로기준법은 상시 5인 이상의 근로자를 사용하는 모든 사업 또는 사업장에 적용한다.”라고 규정하고 있고, 이는 국가·지방자치단체에 의한 사업은 물론 국영기업체, 공익사업체, 사회사업단체, 종교단체가 행하는 모든 사업에 적용됩니다(서울지법 1996. 9. 10. 선고 96가단90373 판결, 대법원 1979. 3. 27. 선고 78다163 판결).이와 같이 「근로기준법」은 이 법의 적용대상이 되는 사업을 한정시키지 않고 모든 사업에 적용되도록 규정하고 있으므로 사업의 개념은 탄력적으로 파악되어야 할 것입니다.여기서 사업 또는 사업장의 판단기준과 관련하여 문제되는 것은 다음과 같습니다.첫째, 한 사업주가 2개 이상의 사업장을 갖는 경우에 장소적으로 분산되어 있다 하여도 동일한 조직적 관련을 가지고 사업의 독립성이 없을 경우에는 하나의 사업장으로 보아야 할 것입니다.둘째, 계절적 사업 또는 일용근로자만을 사용하는 사업장의 경우도 같은 법의 적용을 받아야 합니다(대법원 1987. 4. 14. 선고 87도 153 판결).셋째, 외국인사업에 대해서는 외국인회사가 우리나라에서 한국인 노동자를 고용하여 사용자의 지위를 가지는 한, 자연인이나 법인을 불문하고 근로기준법상의 규정 및 의무를 준수·이행하여야 합니다.넷째, 「근로기준법」도 국내법으로서 국내에서만 적용되며 통치권이 미치지 못하는 국외의 사업장에 대해서는 적용되지 않는 것이 원칙입니다. 그러므로 한국인이 경영하는 외국소재 기업체에서는 근로기준법이 적용되지 않습니다. 반면, 국내에 본사(기업체)가 있고 그 출장소나 지점 등이 외국에 있는 경우에 그 출장소나 지점에 근무하는 한국인 노동자에게는 「근로기준법」및 「산업재해보상보험법」이 적용됩니다(산업재해보상보험법 제122조).다만, 상시 5인 이상의 근로자를 사용하는 사업 또는 사업장이라도 다음의 경우에는 「근로기준법」이 적용되지 않습니다.첫째, 동거의 친족만을 사용하는 사업은 종속적 근로관계를 인정할 수 없으니 친족상호간에 누가 사용자이고 노동자인지를 형식적으로 구별하기 곤란하기 때문에 법적용에서 제외하고 있습니다. 그러나 「민법」제777조에 의한 법률상의 친족범위(8촌 이내의 혈족, 4촌 이내의 인척, 배우자)밖에 있는 친족을 근로자로 사용하는 경우에는 「근로기준법」이 적용됩니다.둘째, 가사사용인은 제외됩니다. 가사사용인이란 일반가정의 가정부, 파출부 등 가사에 종사하는 자를 말합니다. 가사사용인과의 관계는 주로 개인의 사생활과 관련되어 있고 근무시간이나 임금규제를 통하여 국가의 감독행정이 미치기 어렵기 때문입니다.셋째, 특별법에 의한 적용의 예외로서 선원의 경우는 해상노동의 특이성을 고려하여 선원법이 적용되며, 국가공무원 및 지방공무원은 특별규정(예：공무원연금법, 공무원보수규정 등)이 있는 경우에는 「근로기준법」의 적용이 제한되며, 사립학교교직원은 「사립학교법」에 특별히 「근로기준법」의 적용을 배제한다는 규정이 없는 한 「근로기준법」이 적용됩니다.또한 판례는 “근로기준법 제10조(현행 근로기준법 제11조) 본문에서 ‘상시 5인 이상의 근로자를 사용하는 사업 또는 사업장’이라고 함은 근로자 수가 때때로 5인 미만이 되는 경우가 있어도 상태적으로 5인 이상이 되는 경우에는 이에 해당하고, 나아가 당해 사업장에 계속 근무하는 근로자뿐 아니라 그때 그때의 필요에 의하여 사용하는 일용근로자도 포함하는 것이다.”라고 하였습니다(대법원 1997. 11. 28. 선고 97다28971 판결, 2000. 3. 14. 선고 99도1243 판결 ※ 상시고용근로자수=일정기간 내의 고용자 연인원수/일정사업기간내 가동일수).따라서 귀하의 경우 외국인회사의 한국지부라도 속지주의 원칙상 한국인 노동자를 고용하여 사용자의 지위를 가지는 한 자연인이나 법인을 불문하고 근로기준법상의 규정 및 의무를 준수·이행할 의무가 있으므로, 사용자가 근로기준법에 위반할 경우에는 고용노동부 지방노동사무소에 고발하거나 법원에 민사상 소송을 청구할 수 있음은 물론이고, 이외에 별도로 노동위원회에 구제신청도 할 수 있다 하겠습니다."
중국인 乙은 국내 염색가공업체인 甲회사에서 산업기술연수생으로 일을 하던 중 안면부위에 중화상을 입었습니다. 이 경우 乙도 「근로기준법」상의 근로자로서 「산업재해보상보험법」상의 보험금을 받을 수 있는지요?,,"「근로기준법」제2조 제1항 제1호는 “이 법에서 근로자라 함은 직업의 종류를 불문하고 사업 또는 사업장에 임금을 목적으로 근로를 제공하는 자를 말한다.”라고 규정하고 있고, 「산업재해보상보험법」제5조 제2호에서 ‘근로자’는 「근로기준법」에 의한 근로자를 말한다고 규정하고 있습니다.위 사안과 관련하여 판례는 “산업기술연수사증을 발급받은 외국인이 정부가 실시하는 외국인산업기술연수제도의 국내대상업체에 산업기술연수생으로 배정되어 대상업체와 사이에 상공부장관의 지침에 따른 계약서의 양식에 따라 연수계약을 체결하였다 하더라도 그 계약의 내용이 단순히 산업기술의 연수만에 그치는 것이 아니고, 대상업체가 지시하는 바에 따라 소정시간 근로를 제공하고 그 대가로 일정액의 금품을 지급받으며 더욱이 소정시간외의 근무에 대하여는 근로기준법에 따른 시간외 근로수당을 지급받기로 하는 것이고, 이에 따라 당해 외국인이 대상업체의 사업장에서 실질적으로 대상업체의 지시·감독을 받으면서 근로를 제공하고 수당명목의 금품을 수령하여 왔다면 당해 외국인도 근로기준법 제14조(현행 근로기준법 제2조) 소정의 근로자에 해당한다.”라고 하였습니다(대법원 1995. 12. 22. 선고 95누2050 판결, 1997. 10. 10. 선고 97누10352 판결).따라서 乙의 경우에도 「근로기준법」상의 근로자로서 「산업재해보상보험법」상의 보험금을 받을 수 있을 것으로 보입니다."
"저는 甲주식회사에서 경리부장 겸 상무이사로서 5년간 근무하다가 퇴직하였으나 그 퇴직금을 단 한푼도 지급받지 못하였는데, 그 이유는 제가 형식상 甲회사의 상무이사로 되어 있었고, 이사의 퇴직금에 관하여는 별도로 정한 바가 없으며 이사는 「근로기준법」상의 근로자가 아니기 때문에 퇴직금을 지급할 수 없다고 하는데, 저는 퇴직금을 지급받을 수 없는지요?",,"사용자는 퇴직하는 근로자에게 급여를 지급하기 위하여 퇴직급여제도 중 하나 이상의 제도를 설정하여야 하며(근로기준법 제34조, 근로자퇴직급여 보장법 제4조), 「근로기준법」제2조 제1항 제1호는 ‘근로자’라 함은 직업의 종류를 불문하고 사업 또는 사업장에 임금을 목적으로 근로를 제공하는 자를 말한다고 규정하고 있습니다. 그러므로 이사로서의 지위를 겸하고 있었던 귀하가 「근로기준법」에 의하여 퇴직금을 지급받을 수 있는 근로자에 해당되는지가 문제됩니다.이에 관하여 판례는 “회사의 업무집행권을 가진 이사 등 임원은 그가 회사의 주주가 아니라 하더라도 회사로부터 일정한 사무처리의 위임을 받고 있는 것이므로, 특별한 사정이 없는 한 사용자의 지휘·감독아래 일정한 근로를 제공하고 소정의 임금을 받는 고용관계에 있는 것이 아니어서 근로기준법상의 근로자라고 할 수 없다.”라고 하면서 “정관 및 관계법규상 이사의 보수 또는 퇴직금에 관하여 주주총회의 결의로 정한다고 규정되어 있는 경우 금액, 지급방법, 지급시기 등에 관한 주주총회의 결의가 있었음을 인정할 증거가 없는 한 이사의 보수나 퇴직금청구권을 행사할 수 없다.”라고 하였습니다(대법원 1992. 12. 22. 선고 92다28228 판결).그러나 “근로기준법의 적용을 받는 근로자란 사용자로부터 근로의 대가를 받고 사용자에게 근로를 제공하는 자를 말하는 것이므로, 회사의 이사가 회사로부터 위임받은 사무를 처리하는 이외에 사용자의 지휘·감독아래 일정한 노무를 담당하고 그 대가로 일정한 보수를 지급받아 왔다면 근로기준법상의 근로자라고 볼 수 있다.”라고 하였습니다(대법원 1992. 5. 12. 선고 91누11490 판결, 2005. 5. 27. 선고 2005두524 판결).따라서 귀하의 경우도 귀하가 회사로부터 위임받은 이사로서의 사무를 처리하는 이외에 사용자의 지휘·감독아래 일정한 노무를 담당하고 그 대가로 일정한 보수를 지급받아 왔다면 「근로기준법」상의 근로자라고 보아 퇴직금을 청구할 수 있을 것으로 보입니다.                   "
